year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2011-01-20,150500.65375865658,811204.5167590583,2057785.3842477815,4374378.749091776,3524518.06914145,144656.38495837248
2011-01-21,150425.67112084408,811280.1092963514,2058161.016540059,4375103.337184523,3525128.7352720927,144632.06040719192
2011-01-22,150350.84993631006,811355.4478412737,2058535.7784602607,4375826.022249222,3525737.762388741,144607.7382169019
2011-01-23,150276.19020505447,811430.532393825,2058909.6700083858,4376546.80428587,3526345.1504913936,144583.41838750237
2011-01-24,150201.69192707734,811505.3629540051,2059282.6911844346,4377265.683294467,3526950.8995800493,144559.10091899332
2011-01-25,150127.3551023786,811579.9395218142,2059654.841988407,4377982.659275013,3527555.0096547096,144534.7858113748
2011-01-26,150053.17973095842,811654.2620972525,2060026.122420303,4378697.73222751,3528157.480715374,144510.47306464682
2011-01-27,149979.16581281662,811728.3306803198,2060396.532480123,4379410.902151956,3528758.3127620425,144486.1626788093
2011-01-28,149905.31334795328,811802.145271016,2060766.0721678662,4380122.169048352,3529357.5057947147,144461.8546538623
2011-01-29,149831.62233636845,811875.7058693414,2061134.7414835335,4380831.532916699,3529955.0598133923,144437.54898980586
2011-01-30,149758.09277806204,811949.0124752957,2061502.5404271244,4381538.993756994,3530550.974818073,144413.2456866399
2011-01-31,149684.72467303407,812022.0650888789,2061869.4689986387,4382244.551569239,3531145.2508087577,144388.94474436445
2011-02-01,149611.51802128454,812094.863710091,2062235.5271980767,4382948.206353433,3531737.8877854464,144364.64616297945
2011-02-02,149538.4728228135,812167.4083389326,2062600.7150254387,4383649.958109578,3532328.88574814,144340.34994248505
2011-02-03,149465.58907762088,812239.6989754027,2062965.0324807242,4384349.806837672,3532918.2446968374,144316.0560828811
2011-02-04,149392.86678570672,812311.7356195019,2063328.479563933,4385047.752537716,3533505.964631538,144291.7645841677
2011-02-05,149320.30594707106,812383.5182712305,2063691.056275066,4385743.7952097105,3534092.045552244,144267.4754463448
2011-02-06,149247.90656171378,812455.0469305877,2064052.7626141228,4386437.934853653,3534676.4874589536,144243.1886694124
2011-02-07,149175.668629635,812526.321597574,2064413.5985811027,4387130.171469546,3535259.290351668,144218.90425337054
2011-02-08,149103.59215083465,812597.3422721893,2064773.5641760062,4387820.505057388,3535840.4542303854,144194.62219821915
2011-02-09,149031.67712531277,812668.1089544339,2065132.659398834,4388508.9356171815,3536419.979095108,144170.3425039583
2011-02-10,148959.92355306933,812738.6216443072,2065490.8842495852,4389195.463148924,3536997.8649458336,144146.06517058794
2011-02-11,148888.33143410436,812808.8803418095,2065848.23872826,4389880.087652614,3537574.111782564,144121.7901981081
2011-02-12,148816.90076841784,812878.885046941,2066204.7228348586,4390562.8091282565,3538148.7196052987,144097.51758651875
2011-02-13,148745.63155600976,812948.6357597015,2066560.3365693807,4391243.627575847,3538721.6884140377,144073.24733581996
2011-02-14,148674.52379688015,813018.1324800908,2066915.0799318263,4391922.542995389,3539293.0182087794,144048.97944601162
2011-02-15,148603.577491029,813087.3752081094,2067268.9529221957,4392599.5553868795,3539862.7089895266,144024.71391709382
2011-02-16,148532.79263845627,813156.3639437568,2067621.9555404892,4393274.664750319,3540430.760756277,144000.4507490665
2011-02-17,148462.169239162,813225.0986870333,2067974.0877867057,4393947.871085709,3540997.1735090325,143976.18994192974
2011-02-18,148391.70729314617,813293.5794379388,2068325.3496608464,4394619.174393049,3541561.9472477916,143951.93149568347
2011-02-19,148321.40680040882,813361.8061964733,2068675.7411629104,4395288.574672338,3542125.0819725543,143927.6754103277
2011-02-20,148251.26776094994,813429.7789626366,2069025.2622928985,4395956.071923576,3542686.5776833217,143903.42168586244
2011-02-21,148181.29017476947,813497.4977364292,2069373.9130508099,4396621.666146765,3543246.4343800936,143879.1703222877
2011-02-22,148111.47404186745,813564.9625178508,2069721.693436645,4397285.357341904,3543804.6520628687,143854.92131960348
2011-02-23,148041.81936224393,813632.1733069011,2070068.6034504038,4397947.1455089925,3544361.2307316484,143830.67467780973
2011-02-24,147972.32613589882,813699.1301035807,2070414.6430920863,4398607.030648029,3544916.170386432,143806.43039690654
